
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3,Top of the 1st Nationals Batting Tied 0-0 Phillies' Severino Gonzalez facing 1-2-3
t1,0-0,0,---,4(1-2) CBSX,O,WSN,M. Taylor,S. Gonzalez,2%,52%,Groundout: 2B-1B (2B-1B)
t1,0-0,1,---,5(2-2) BSSBX,O,WSN,D. Espinosa,S. Gonzalez,1%,54%,Groundout: 2B-1B
t1,0-0,2,---,5(3-1) FBBBB,,WSN,Y. Escobar,S. Gonzalez,-1%,52%,Walk
t1,0-0,2,1--,5(2-2) FB^FBT,O,WSN,C. Robinson,S. Gonzalez,2%,55%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Nationals 0 Phillies 0.,0 runs 0 hits 0 errors 1 LOB. Nationals 0 Phillies 0.,0 runs 0 hits 0 errors 1 LOB. Nationals 0 Phillies 0.
Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3,Bottom of the 1st Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 1-2-3
b1,0-0,0,---,2(1-0) BX,O,PHI,O. Herrera,T. Roark,-2%,52%,Groundout: SS-1B
b1,0-0,1,---,1(0-0) X,,PHI,C. Hernandez,T. Roark,2%,55%,Single to SS (Ground Ball to SS-3B Hole)
b1,0-0,1,1--,2(1-0) B11&gt;B,,PHI,M. Franco,T. Roark,2%,57%,Hernandez Steals 2B
