
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3
t1,0-0,0,---,4(2-1) BCBX,O,ATL,J. Peterson,D. Fister,2%,52%,Flyball: LF (Deep LF-CF)
t1,0-0,1,---,5(2-2) CCBBX,O,ATL,C. Maybin,D. Fister,1%,54%,Groundout: SS-1B
t1,0-0,2,---,7(3-2) BCBBFFX,O,ATL,N. Markakis,D. Fister,1%,55%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Matt Wisler facing 1-2-3
b1,0-0,0,---,6(2-2) BBCFFX,,WSN,D. Span,M. Wisler,6%,61%,Single to RF (Line Drive to Deep RF); Span to 2B/Adv on E9
b1,0-0,0,-2-,1(0-0) X,O,WSN,D. Espinosa,M. Wisler,-1%,60%,Bunt Groundout: P-1B/Sacrifice (Front of Home); Span to 3B
b1,0-0,1,--3,6(3-2) BBBCSX,RO,WSN,Y. Escobar,M. Wisler,3%,62%,Groundout: 2B-1B (2B-1B); Span Scores/unER
b1,1-0,2,---,4(2-1) BFBX,O,WSN,C. Robinson,M. Wisler,-1%,61%,Groundout: 1B unassisted
